"Add New Category","Nieuwe Categorie Toevoegen"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Start Import","Start Importeren"
NOTICE,"LET OP"
"Database Name","Database Naam"
"User Name","Gebruikers Naam"
"Database Host","Database Host"
"Table Prefix","Table Prefix"
Font,Plaats
"Add New Font","Voeg Nieuw Bericht Toe"
Font,Font
"Go to Font Home Page","Ga naar Font Home Pagina"
"Monthly Archives: %s %s","Maandelijkse Archieven: %s %s"
"Search ""%1""","Zoeken ""%1"""
"Recent Font Fonts","Recente Font Berichten"
"Manage %1","Beheer %1"
"Edit %1","Bewerk %1"
"New %1","Nieuw %1"
"Create %1","Maak %1"
"%1 has been saved.","%1 is opgeslagen."
"Something went wrong while saving this %1. %2","Er is iets fout gegaan tijdens het opslaan %1. %2"
"We can't delete %1 right now. %2","Op dit moment kun je %1 niet verwijderen. %2"
"%1 have been deleted.","%1 is verwijderd."
"Parameter ""Status"" missing in request data.","Parameter ""Status"" ontbrekende gegevens in het verzoek."
"Status Field Name is not specified.","Status Veldnaam is niet gespecificeerd."
"We can't change status of %1 right now. %2","we kunnen de status van %1 nu direct. %2"
"%1 status have been changed.","%1 Status is veranderd."
"Font Import","Font Import"
"Font import type is not specified.","Font import type zijn niet gespecificeerd."
"The import process was completed successfully. %1 fonts and %2 categories where imported.","Het importeer proces is compleet geluk. %1 berichten en %2 categorien zijn geïmporteerd."
"The import process completed. %1 fonts and %2 categories where imported. Some fonts or categories where skipped.<br/> %3 %4","Het importeer proces is compleet. %1 berichten en %2 categorien zijn geimpoteerd. Sommige berichten of categorien zijn overgeslaan.<br/> %3 %4"
"Nothing to import.","Niets om te Importeren."
"Can not make import.","Kan niet Importeren."
"Something went wrong: ","Er is iets mis gegaan: "
"Font Import from WordPress (beta)","Font Importeren vanaf WordPress (beta)"
"Please select","Selecteer"
"Use Facebook Comments","Gebruik Facebook Comments"
"Use Disqus Comments","Gebruik Disqus Comments"
"Use Google Comments (beta)","Gebruik Google Comments (beta)"
"Yes (With auto trigger)","Ja (Met auto trigger)"
"Yes (Without auto trigger)","Ja (Zonder auto trigger)"
"Parameter %1 is required","Parameter %1 is verplicht"
"AheadWorks Font Extension not detected.","AheadWorks Font Extensie niet gedetecteerd."
"The category URL key contains capital letters or disallowed symbols.","De URL key bevat hoofdletters of niet toegestane symbolen."
"The category URL key cannot be made of only numbers.","De categorie URL key mag niet alleen uit nummers bestaan."
"The font URL key contains capital letters or disallowed symbols.","De bericht URL key bevat hoofdletters of niet toegestane symbolen."
"The font URL key cannot be made of only numbers.","De bericht URL key mag niet alleen uit nummers bestaan."
"The tag is already exist.","Deze tag bestaat al."
"The tag URL key contains capital letters or disallowed symbols.","De tag URL key bevat hoofdletters of niet toegestane symbolen."
"The tag URL key cannot be made of only numbers.","De tag URL key mag niet alleen uit nummers bestaan."
"Related fonts","Gerelateerde berichten"
Fonted:,Geplaatst:
Categories:,Categorien:
Tags:,Tags:
Author:,Auteur:
"We can't find fonts matching the selection.","We kunnen geen berichten vinden die overeen komen met deze selectie."
"Read more &#187;","Lees meer &#187;"
"See more","Bekijk meer"
"Read %1","Lees %1"
"&larr; Previous","&larr; Vorige"
"Next &rarr;","Volgende &rarr;"
"Related Fonts","Gerelateerde Berichten"
Archive,Archief
"Archive %s","Archief %s"
"Recent Fonts","Recente Berichten"
"RSS Feed","RSS Feed"
"Search fonts here...","Zoek Bericht Hier…"
Tags,Tags
"designnbuy Extensions","designnbuy Extensions"
"Font Information","Font Informatie"
"Font Index Page","Font Index Pagina"
"Font View","Bericht Bekijken"
"Display Related Fonts","Toon Gerelateerde Berichten"
"Number of Fonts","Aantal berichten"
